id,produce_type,name,method,drying_temperature_C,typical_drying_time_min
550,Fruit,Apple,Sun,37.6,1029
551,Fruit,Kiwi,Microwave,77.9,50
552,Fruit,Peach,Microwave,55.0,39
553,Fruit,Guava,Sun,31.6,927
554,Vegetable,Pumpkin,Microwave,60.8,56
555,Vegetable,Chili Pepper,Vacuum,51.3,204
556,Fruit,Pineapple,Vacuum,36.7,784
557,Vegetable,Tomato,Sun,33.8,1444
558,Vegetable,Pumpkin,Freeze-Drying,-18.2,628
559,Fruit,Lemon,Vacuum,53.8,581
560,Vegetable,Mint Leaves,Vacuum,46.5,625
561,Vegetable,Cucumber,Vacuum,66.2,247
562,Fruit,Pear,Freeze-Drying,-26.3,1614
563,Vegetable,Radish,Hot-Air,41.6,155
564,Vegetable,Potato,Microwave,60.2,26
565,Fruit,Jackfruit,Hot-Air,73.2,127
566,Vegetable,Eggplant,Microwave,67.6,19
567,Fruit,Sapota,Freeze-Drying,10.3,946
568,Fruit,Grapes,Sun,54.6,824
569,Vegetable,Eggplant,Microwave,56.7,60
570,Vegetable,Bitter Gourd,Hot-Air,45.6,599
571,Vegetable,Cucumber,Freeze-Drying,-25.9,1636
572,Vegetable,Garlic,Sun,54.7,622
573,Fruit,Lemon,Freeze-Drying,13.7,1079
574,Fruit,Apple,Freeze-Drying,-21.9,676
575,Vegetable,Cucumber,Hot-Air,73.5,231
576,Vegetable,Eggplant,Vacuum,42.0,501
577,Vegetable,Cabbage,Vacuum,52.2,570
578,Fruit,Strawberry,Vacuum,38.4,625
579,Vegetable,Mint Leaves,Hot-Air,74.2,153
580,Fruit,Mango,Vacuum,43.3,596
581,Fruit,Mango,Sun,32.9,888
582,Vegetable,Potato,Solar,55.2,667
583,Fruit,Mango,Sun,42.4,876
584,Vegetable,Bitter Gourd,Sun,50.5,1053
585,Fruit,Plum,Microwave,50.5,34
586,Fruit,Apricot,Hot-Air,81.8,380
587,Vegetable,Chili Pepper,Solar,44.7,787
588,Fruit,Plum,Freeze-Drying,-16.9,881
589,Vegetable,Tomato,Microwave,71.9,82
590,Fruit,Lemon,Freeze-Drying,-33.2,649
591,Vegetable,Cabbage,Vacuum,65.4,257
592,Vegetable,Bell Pepper,Freeze-Drying,-24.6,643
593,Fruit,Plum,Sun,35.8,870
594,Vegetable,Okra,Hot-Air,88.6,486
595,Fruit,Lemon,Freeze-Drying,7.4,1056
596,Fruit,Custard Apple,Microwave,62.3,69
597,Fruit,Lychee,Vacuum,48.0,362
598,Vegetable,Radish,Sun,36.7,1414
599,Vegetable,Okra,Freeze-Drying,-21.2,1792
600,Fruit,Mango,Sun,47.0,720
601,Fruit,Pomegranate,Sun,51.9,930
602,Vegetable,Cauliflower,Microwave,57.8,21
603,Vegetable,Cauliflower,Microwave,73.2,82
604,Vegetable,Drumstick,Solar,42.5,518
605,Fruit,Sapota,Freeze-Drying,-26.7,1872
606,Fruit,Lychee,Vacuum,56.7,291
607,Vegetable,Ginger,Microwave,66.5,73
608,Vegetable,Mint Leaves,Microwave,72.8,31
609,Vegetable,Bitter Gourd,Hot-Air,47.5,416
610,Vegetable,Eggplant,Microwave,74.1,44
611,Vegetable,Bitter Gourd,Sun,54.7,637
612,Vegetable,Potato,Solar,57.6,754
613,Fruit,Custard Apple,Hot-Air,60.5,271
614,Vegetable,Tomato,Hot-Air,75.7,277
615,Fruit,Dragon Fruit,Solar,58.6,823
616,Fruit,Cherry,Freeze-Drying,-7.4,1171
617,Vegetable,Onion,Solar,58.9,767
618,Fruit,Pineapple,Solar,58.8,848
619,Fruit,Peach,Solar,40.6,523
620,Vegetable,Green Peas,Sun,35.3,806
621,Fruit,Pear,Hot-Air,47.3,584
622,Vegetable,Onion,Solar,64.6,872
623,Vegetable,Drumstick,Freeze-Drying,-28.3,1518
624,Vegetable,Beetroot,Hot-Air,42.9,425
625,Fruit,Banana,Vacuum,50.0,502
626,Fruit,Blueberry,Freeze-Drying,1.0,1743
627,Vegetable,Drumstick,Hot-Air,43.6,583
628,Fruit,Guava,Vacuum,56.4,562
629,Vegetable,Green Peas,Microwave,58.3,57
630,Vegetable,Eggplant,Microwave,52.2,47
631,Vegetable,Cucumber,Hot-Air,56.7,212
632,Vegetable,Eggplant,Microwave,69.4,40
633,Fruit,Watermelon,Hot-Air,78.7,385
634,Fruit,Grapes,Solar,50.7,669
635,Fruit,Apple,Sun,48.1,987
636,Fruit,Pomegranate,Solar,47.3,598
637,Fruit,Apricot,Solar,52.9,656
638,Vegetable,Chili Pepper,Sun,39.5,700
639,Vegetable,Potato,Microwave,58.7,86
640,Vegetable,Okra,Freeze-Drying,-6.0,1564
641,Fruit,Mango,Vacuum,31.6,764
642,Fruit,Cherry,Sun,30.4,1203
643,Fruit,Papaya,Solar,64.9,1067
644,Fruit,Pear,Vacuum,53.2,238
645,Fruit,Watermelon,Hot-Air,88.2,478
646,Fruit,Apricot,Sun,42.6,1333
647,Fruit,Guava,Vacuum,47.8,276
648,Fruit,Fig,Microwave,59.9,34
649,Fruit,Guava,Microwave,50.4,53
650,Vegetable,Bitter Gourd,Vacuum,62.0,484
651,Vegetable,Garlic,Freeze-Drying,-22.3,1032
652,Vegetable,Bitter Gourd,Freeze-Drying,7.5,995
653,Vegetable,Green Peas,Freeze-Drying,-12.8,745
654,Fruit,Jackfruit,Freeze-Drying,0.5,1147
655,Vegetable,Cabbage,Freeze-Drying,-18.5,1371
656,Fruit,Papaya,Microwave,51.5,56
657,Fruit,Lychee,Vacuum,49.0,213
658,Fruit,Custard Apple,Vacuum,60.1,251
659,Vegetable,Beetroot,Sun,52.8,852
660,Vegetable,Onion,Solar,59.1,517
661,Vegetable,Potato,Solar,44.5,1160
662,Vegetable,Carrot,Microwave,70.1,48
663,Vegetable,Green Peas,Microwave,65.9,24
664,Fruit,Jackfruit,Freeze-Drying,-23.2,1355
665,Fruit,Sapota,Vacuum,61.4,786
666,Fruit,Mango,Sun,46.0,1389
667,Vegetable,Broccoli,Solar,51.8,1118
668,Vegetable,Tomato,Vacuum,40.7,203
669,Vegetable,Tomato,Freeze-Drying,-5.4,725
670,Fruit,Lemon,Sun,41.2,1245
671,Vegetable,Beetroot,Sun,50.1,1104
672,Fruit,Lemon,Hot-Air,73.8,179
673,Vegetable,Green Peas,Vacuum,41.7,396
674,Fruit,Lemon,Solar,41.6,779
675,Vegetable,Onion,Solar,51.1,686
676,Fruit,Apricot,Vacuum,60.6,241
677,Fruit,Guava,Vacuum,30.5,648
678,Fruit,Orange,Sun,53.2,985
679,Vegetable,Bitter Gourd,Freeze-Drying,-35.4,1616
680,Vegetable,Mint Leaves,Solar,38.8,842
681,Vegetable,Tomato,Hot-Air,76.9,254
682,Vegetable,Mint Leaves,Sun,42.3,1107
683,Vegetable,Bell Pepper,Freeze-Drying,-6.9,1727
684,Vegetable,Green Peas,Hot-Air,57.9,338
685,Vegetable,Broccoli,Solar,61.5,652
686,Vegetable,Cabbage,Hot-Air,51.9,200
687,Vegetable,Bitter Gourd,Solar,47.6,597
688,Vegetable,Okra,Hot-Air,63.4,201
689,Fruit,Watermelon,Microwave,73.6,30
690,Vegetable,Coriander Leaves,Hot-Air,83.8,558
691,Vegetable,Bell Pepper,Microwave,54.4,69
692,Fruit,Papaya,Hot-Air,72.0,311
693,Fruit,Plum,Freeze-Drying,-5.6,1787
694,Fruit,Jackfruit,Vacuum,40.5,501
695,Fruit,Fig,Solar,55.6,615
696,Vegetable,Onion,Solar,62.0,747
697,Vegetable,Spinach,Freeze-Drying,-31.8,1995
698,Vegetable,Garlic,Vacuum,67.8,743
699,Fruit,Sapota,Microwave,59.5,15
700,Fruit,Pear,Solar,49.8,934
701,Fruit,Fig,Sun,32.5,985
702,Vegetable,Green Peas,Microwave,65.2,84
703,Fruit,Apricot,Freeze-Drying,9.8,1607
704,Fruit,Orange,Hot-Air,75.9,470
705,Vegetable,Beetroot,Sun,43.8,911
706,Fruit,Lychee,Vacuum,47.7,740
707,Vegetable,Onion,Vacuum,70.0,503
708,Vegetable,Chili Pepper,Vacuum,66.1,617
709,Fruit,Kiwi,Vacuum,43.8,703
710,Vegetable,Bitter Gourd,Microwave,53.0,66
711,Vegetable,Radish,Sun,34.7,1474
712,Fruit,Fig,Microwave,62.6,58
713,Vegetable,Coriander Leaves,Solar,38.2,626
714,Fruit,Lychee,Microwave,64.0,67
715,Fruit,Apricot,Microwave,66.2,22
716,Vegetable,Mint Leaves,Vacuum,39.6,422
717,Vegetable,Cucumber,Microwave,57.6,46
718,Fruit,Mango,Freeze-Drying,9.1,1367
719,Fruit,Fig,Sun,31.0,1015
720,Fruit,Sapota,Microwave,62.7,39
721,Fruit,Peach,Sun,39.6,1488
722,Fruit,Watermelon,Hot-Air,67.2,553
723,Fruit,Blueberry,Solar,57.5,1145
724,Fruit,Papaya,Solar,51.6,612
725,Fruit,Apple,Freeze-Drying,-26.1,657
726,Vegetable,Garlic,Freeze-Drying,-31.2,1085
727,Vegetable,Pumpkin,Microwave,71.4,20
728,Fruit,Pineapple,Hot-Air,66.0,251
729,Fruit,Apple,Freeze-Drying,-39.4,1454
730,Fruit,Apricot,Freeze-Drying,-34.7,914
731,Fruit,Grapes,Freeze-Drying,-23.2,1805
732,Fruit,Kiwi,Freeze-Drying,24.7,1187
733,Fruit,Watermelon,Solar,39.1,741
734,Vegetable,Spinach,Solar,56.4,667
735,Fruit,Pear,Sun,32.8,700
736,Fruit,Jackfruit,Solar,57.4,641
737,Fruit,Pomegranate,Solar,45.7,1127
738,Fruit,Pomegranate,Hot-Air,83.0,331
739,Fruit,Guava,Sun,44.9,1060
740,Fruit,Pineapple,Microwave,74.4,88
741,Vegetable,Bitter Gourd,Sun,51.9,810
742,Vegetable,Carrot,Microwave,76.2,65
743,Fruit,Strawberry,Microwave,61.4,41
744,Vegetable,Pumpkin,Microwave,70.9,29
745,Vegetable,Mushroom,Sun,32.7,961
746,Vegetable,Tomato,Microwave,60.8,33
747,Vegetable,Bell Pepper,Microwave,73.5,36
748,Fruit,Lemon,Vacuum,52.3,300
749,Vegetable,Okra,Freeze-Drying,-33.3,1315
750,Fruit,Custard Apple,Hot-Air,68.9,235
751,Vegetable,Tomato,Hot-Air,58.7,170
752,Fruit,Orange,Sun,35.6,1038
753,Fruit,Watermelon,Vacuum,61.4,535
754,Fruit,Jackfruit,Vacuum,62.7,648
755,Fruit,Dragon Fruit,Hot-Air,66.7,543
756,Vegetable,Bell Pepper,Solar,38.1,1064
757,Vegetable,Onion,Sun,31.8,988
758,Fruit,Custard Apple,Microwave,50.6,43
759,Vegetable,Cucumber,Vacuum,34.4,603
760,Fruit,Papaya,Hot-Air,61.7,366
761,Vegetable,Green Peas,Vacuum,62.0,600
762,Vegetable,Mushroom,Freeze-Drying,-11.8,1465
763,Fruit,Orange,Hot-Air,86.4,267
764,Fruit,Fig,Solar,62.8,623
765,Vegetable,Cauliflower,Vacuum,57.0,460
766,Vegetable,Beetroot,Freeze-Drying,-33.1,1262
767,Vegetable,Radish,Freeze-Drying,-0.7,1394
768,Vegetable,Beetroot,Sun,49.5,1218
769,Vegetable,Spinach,Hot-Air,78.4,499
770,Vegetable,Ginger,Hot-Air,55.7,522
771,Vegetable,Spinach,Vacuum,65.6,281
772,Fruit,Banana,Freeze-Drying,0.0,990
773,Vegetable,Onion,Hot-Air,63.6,159
774,Fruit,Mango,Solar,57.0,619
775,Vegetable,Spinach,Microwave,71.0,18
776,Fruit,Dragon Fruit,Sun,30.0,1056
777,Vegetable,Eggplant,Vacuum,34.0,515
778,Fruit,Peach,Vacuum,64.5,710
779,Fruit,Papaya,Hot-Air,73.6,365
780,Fruit,Pomegranate,Freeze-Drying,6.8,655
781,Fruit,Jackfruit,Hot-Air,68.0,278
782,Fruit,Banana,Solar,56.7,485
783,Vegetable,Mint Leaves,Microwave,53.6,59
784,Vegetable,Cauliflower,Solar,53.0,1018
785,Fruit,Cherry,Microwave,53.1,82
786,Fruit,Banana,Microwave,66.3,58
787,Fruit,Watermelon,Vacuum,47.8,658
788,Fruit,Orange,Vacuum,41.4,224
789,Fruit,Sapota,Freeze-Drying,8.5,738
790,Fruit,Strawberry,Vacuum,63.5,452
791,Fruit,Apricot,Solar,36.8,726
792,Vegetable,Ginger,Hot-Air,59.9,263
793,Fruit,Plum,Sun,35.3,956
794,Fruit,Pomegranate,Vacuum,53.2,613
795,Fruit,Guava,Freeze-Drying,-19.7,742
796,Fruit,Mango,Microwave,72.9,17
797,Vegetable,Garlic,Freeze-Drying,-36.4,856
798,Fruit,Lemon,Microwave,59.7,44
799,Fruit,Plum,Freeze-Drying,-27.6,1262
800,Vegetable,Cabbage,Sun,33.9,780
801,Fruit,Apricot,Microwave,73.0,47
802,Fruit,Pineapple,Vacuum,30.4,258
803,Vegetable,Green Peas,Microwave,56.3,68
804,Vegetable,Eggplant,Sun,40.7,766
805,Fruit,Sapota,Solar,36.0,998
806,Fruit,Jackfruit,Sun,31.7,1058
807,Fruit,Fig,Sun,37.7,811
808,Fruit,Peach,Hot-Air,89.3,522
809,Fruit,Papaya,Solar,46.7,721
810,Vegetable,Mushroom,Sun,44.4,1485
811,Vegetable,Cucumber,Vacuum,52.3,476
812,Fruit,Cherry,Sun,51.2,955
813,Fruit,Papaya,Microwave,71.8,30
814,Vegetable,Carrot,Vacuum,51.4,279
815,Fruit,Grapes,Hot-Air,44.8,440
816,Vegetable,Cucumber,Sun,31.3,1435
817,Fruit,Grapes,Solar,49.9,1005
818,Fruit,Kiwi,Solar,64.5,754
819,Vegetable,Chili Pepper,Hot-Air,40.2,568
820,Vegetable,Potato,Freeze-Drying,12.0,746
821,Vegetable,Drumstick,Hot-Air,57.2,520
822,Vegetable,Beetroot,Solar,42.8,1109
823,Vegetable,Ginger,Sun,53.2,822
824,Fruit,Sapota,Sun,34.1,998
825,Vegetable,Cauliflower,Vacuum,62.2,421
826,Vegetable,Mint Leaves,Sun,30.1,600
827,Vegetable,Bell Pepper,Hot-Air,47.0,240
828,Fruit,Custard Apple,Hot-Air,73.9,217
829,Fruit,Pomegranate,Hot-Air,67.3,468
830,Vegetable,Pumpkin,Sun,54.1,1289
831,Vegetable,Cucumber,Microwave,53.6,60
832,Fruit,Guava,Sun,44.8,1426
833,Vegetable,Potato,Hot-Air,55.9,253
834,Fruit,Jackfruit,Sun,42.3,760
835,Vegetable,Carrot,Vacuum,43.6,603
836,Fruit,Dragon Fruit,Hot-Air,44.1,423
837,Vegetable,Mushroom,Hot-Air,53.4,556
838,Vegetable,Bell Pepper,Sun,46.8,1396
839,Vegetable,Eggplant,Hot-Air,53.1,321
840,Vegetable,Beetroot,Sun,31.1,968
841,Fruit,Pomegranate,Sun,35.8,1110
842,Fruit,Lychee,Freeze-Drying,2.2,1298
843,Vegetable,Onion,Sun,52.3,755
844,Fruit,Mango,Sun,47.7,621
845,Vegetable,Pumpkin,Solar,40.4,764
846,Fruit,Orange,Sun,34.0,719
847,Fruit,Mango,Solar,63.6,638
848,Fruit,Apple,Vacuum,32.6,605
849,Vegetable,Cucumber,Hot-Air,49.5,416
850,Fruit,Pineapple,Solar,56.9,860
851,Vegetable,Radish,Freeze-Drying,7.3,1636
852,Vegetable,Cucumber,Solar,48.9,623
853,Vegetable,Potato,Hot-Air,41.0,505
854,Vegetable,Drumstick,Sun,39.7,1475
855,Vegetable,Potato,Microwave,60.7,36
856,Fruit,Pomegranate,Freeze-Drying,-14.3,865
857,Fruit,Pineapple,Hot-Air,55.2,517
858,Fruit,Papaya,Vacuum,54.9,449
859,Fruit,Sapota,Freeze-Drying,16.1,1418
860,Vegetable,Eggplant,Solar,60.9,830
861,Vegetable,Cabbage,Sun,31.8,892
862,Fruit,Blueberry,Vacuum,62.8,380
863,Fruit,Lemon,Hot-Air,71.5,396
864,Fruit,Jackfruit,Freeze-Drying,-39.5,1566
865,Vegetable,Carrot,Microwave,75.2,50
866,Vegetable,Ginger,Microwave,71.7,63
867,Vegetable,Potato,Freeze-Drying,5.2,912
868,Fruit,Strawberry,Freeze-Drying,-32.5,710
869,Fruit,Jackfruit,Hot-Air,50.7,290
870,Vegetable,Green Peas,Hot-Air,77.6,481
871,Vegetable,Spinach,Microwave,64.1,66
872,Fruit,Sapota,Microwave,56.9,71
873,Fruit,Plum,Hot-Air,45.9,142
874,Vegetable,Carrot,Microwave,59.0,86
875,Fruit,Strawberry,Microwave,66.1,31
876,Fruit,Kiwi,Sun,47.8,806
877,Vegetable,Mint Leaves,Freeze-Drying,-8.9,1997
878,Vegetable,Okra,Solar,56.9,946
879,Fruit,Fig,Microwave,75.6,37
880,Vegetable,Cauliflower,Hot-Air,64.6,572
881,Fruit,Pineapple,Vacuum,59.2,545
882,Vegetable,Bitter Gourd,Freeze-Drying,0.0,1392
883,Vegetable,Mint Leaves,Freeze-Drying,-21.8,1859
884,Fruit,Pomegranate,Freeze-Drying,-6.5,1763
885,Fruit,Dragon Fruit,Vacuum,30.1,513
886,Fruit,Lemon,Freeze-Drying,25.3,666
887,Vegetable,Potato,Vacuum,66.8,374
888,Fruit,Banana,Solar,61.1,1155
889,Fruit,Papaya,Vacuum,64.5,588
890,Vegetable,Ginger,Microwave,70.3,20
891,Fruit,Lemon,Vacuum,62.4,643
892,Vegetable,Bitter Gourd,Microwave,62.8,39
893,Vegetable,Ginger,Vacuum,68.5,623
894,Fruit,Blueberry,Freeze-Drying,29.0,778
895,Fruit,Pomegranate,Sun,41.6,1439
896,Vegetable,Carrot,Hot-Air,64.7,204
897,Vegetable,Onion,Vacuum,42.5,280
898,Vegetable,Bitter Gourd,Hot-Air,61.1,323
899,Vegetable,Carrot,Sun,46.0,762
900,Fruit,Apple,Hot-Air,84.2,527
901,Vegetable,Garlic,Hot-Air,62.8,510
902,Vegetable,Onion,Microwave,75.3,59
903,Fruit,Grapes,Solar,40.4,686
904,Vegetable,Beetroot,Hot-Air,42.0,444
905,Vegetable,Mint Leaves,Microwave,60.8,45
906,Fruit,Blueberry,Vacuum,45.6,426
907,Fruit,Strawberry,Solar,40.1,946
908,Fruit,Guava,Vacuum,40.9,672
909,Fruit,Cherry,Vacuum,50.6,328
910,Vegetable,Mint Leaves,Freeze-Drying,-17.2,1318
911,Vegetable,Broccoli,Freeze-Drying,3.0,1343
912,Fruit,Mango,Vacuum,30.0,478
913,Fruit,Pineapple,Vacuum,50.5,216
914,Vegetable,Bell Pepper,Sun,43.9,1082
915,Vegetable,Green Peas,Vacuum,53.3,699
916,Vegetable,Bell Pepper,Sun,50.7,1248
917,Fruit,Guava,Freeze-Drying,0.4,1740
918,Fruit,Mango,Vacuum,41.2,784
919,Vegetable,Cucumber,Hot-Air,75.1,586
920,Fruit,Orange,Sun,34.6,971
921,Fruit,Apple,Microwave,78.0,69
922,Fruit,Fig,Sun,50.0,773
923,Fruit,Grapes,Hot-Air,48.1,478
924,Vegetable,Okra,Freeze-Drying,28.8,841
925,Vegetable,Tomato,Freeze-Drying,-11.5,1960
926,Fruit,Lemon,Freeze-Drying,-7.3,1280
927,Vegetable,Beetroot,Freeze-Drying,11.4,1761
928,Vegetable,Potato,Microwave,56.5,79
929,Vegetable,Broccoli,Solar,40.0,895
930,Vegetable,Coriander Leaves,Microwave,60.0,85
931,Fruit,Pomegranate,Sun,31.4,821
932,Fruit,Peach,Solar,61.4,920
933,Vegetable,Mushroom,Solar,59.6,888
934,Fruit,Guava,Hot-Air,71.9,264
935,Vegetable,Drumstick,Freeze-Drying,17.8,888
936,Vegetable,Spinach,Sun,53.0,1313
937,Vegetable,Tomato,Vacuum,45.1,505
938,Vegetable,Onion,Vacuum,67.4,365
939,Vegetable,Potato,Hot-Air,65.6,340
940,Vegetable,Spinach,Freeze-Drying,-17.8,1989
941,Vegetable,Garlic,Sun,47.7,610
942,Vegetable,Mushroom,Vacuum,62.2,317
943,Vegetable,Broccoli,Freeze-Drying,26.1,1563
944,Fruit,Watermelon,Microwave,78.6,24
945,Fruit,Pineapple,Solar,57.5,847
946,Fruit,Orange,Vacuum,58.7,342
947,Vegetable,Carrot,Solar,40.9,564
948,Vegetable,Drumstick,Vacuum,55.7,743
949,Fruit,Blueberry,Sun,37.5,991
950,Vegetable,Mushroom,Vacuum,49.1,258
951,Vegetable,Cauliflower,Microwave,54.9,30
952,Fruit,Jackfruit,Sun,54.8,1100
953,Fruit,Mango,Sun,36.8,1211
954,Fruit,Banana,Microwave,66.1,47
955,Vegetable,Green Peas,Sun,48.9,1290
956,Fruit,Lychee,Vacuum,53.8,750
957,Fruit,Lychee,Solar,48.7,792
958,Fruit,Dragon Fruit,Sun,35.8,847
959,Vegetable,Carrot,Sun,45.4,1475
960,Vegetable,Spinach,Solar,58.2,813
961,Fruit,Dragon Fruit,Microwave,67.6,35
962,Fruit,Guava,Solar,48.5,1145
963,Vegetable,Potato,Hot-Air,84.4,416
964,Vegetable,Bell Pepper,Vacuum,53.8,225
965,Vegetable,Cabbage,Vacuum,42.6,668
966,Vegetable,Ginger,Hot-Air,40.7,440
967,Vegetable,Radish,Microwave,74.5,16
968,Vegetable,Cabbage,Microwave,78.1,87
969,Vegetable,Pumpkin,Solar,56.0,844
970,Fruit,Papaya,Vacuum,39.2,613
971,Fruit,Banana,Solar,50.2,952
972,Vegetable,Bell Pepper,Sun,34.9,809
973,Fruit,Cherry,Freeze-Drying,-7.9,1340
974,Vegetable,Bell Pepper,Hot-Air,80.4,471
975,Fruit,Apple,Solar,52.2,965
976,Vegetable,Coriander Leaves,Freeze-Drying,7.5,833
977,Fruit,Fig,Microwave,67.2,76
978,Vegetable,Garlic,Hot-Air,74.5,336
979,Vegetable,Ginger,Hot-Air,72.3,423
980,Fruit,Pear,Solar,60.4,613
981,Vegetable,Onion,Microwave,72.6,87
982,Fruit,Guava,Vacuum,69.3,665
983,Fruit,Kiwi,Freeze-Drying,28.3,1604
984,Fruit,Guava,Solar,35.8,799
985,Vegetable,Pumpkin,Vacuum,37.7,402
986,Fruit,Pineapple,Solar,63.3,551
987,Fruit,Pear,Solar,54.7,941
988,Fruit,Pineapple,Freeze-Drying,11.4,1331
989,Vegetable,Potato,Freeze-Drying,23.8,1845
990,Vegetable,Garlic,Microwave,51.9,58
991,Fruit,Lemon,Microwave,60.0,20
992,Fruit,Kiwi,Hot-Air,74.4,533
993,Fruit,Kiwi,Freeze-Drying,-9.5,807
994,Vegetable,Okra,Sun,30.2,1343
995,Fruit,Sapota,Solar,59.9,999
996,Fruit,Watermelon,Microwave,78.0,11
997,Fruit,Banana,Hot-Air,59.4,275
998,Fruit,Banana,Vacuum,53.5,607
999,Vegetable,Drumstick,Freeze-Drying,15.5,1586
1000,Fruit,Custard Apple,Hot-Air,61.7,379
1001,Fruit,Kiwi,Hot-Air,68.5,307
1002,Vegetable,Coriander Leaves,Sun,42.2,1367
1003,Vegetable,Garlic,Solar,42.1,689
1004,Vegetable,Cabbage,Solar,58.2,522
1005,Fruit,Pear,Microwave,62.6,89
1006,Fruit,Blueberry,Vacuum,55.3,509
1007,Vegetable,Cucumber,Solar,40.5,1007
1008,Fruit,Strawberry,Hot-Air,56.9,382
1009,Fruit,Orange,Vacuum,52.7,311
1010,Vegetable,Garlic,Vacuum,41.8,301
1011,Vegetable,Radish,Vacuum,55.0,323
1012,Vegetable,Cucumber,Solar,53.9,545
1013,Vegetable,Carrot,Hot-Air,55.1,209
1014,Fruit,Pineapple,Freeze-Drying,29.0,960
1015,Fruit,Banana,Vacuum,31.6,200
1016,Fruit,Apricot,Sun,40.2,1471
1017,Vegetable,Drumstick,Solar,35.2,1140
1018,Vegetable,Chili Pepper,Freeze-Drying,-2.1,1411
1019,Vegetable,Broccoli,Hot-Air,64.5,480
1020,Fruit,Guava,Freeze-Drying,1.4,1886
1021,Vegetable,Chili Pepper,Solar,54.6,1132
1022,Fruit,Pineapple,Sun,31.2,1248
1023,Fruit,Papaya,Microwave,55.5,16
1024,Fruit,Banana,Hot-Air,83.1,261
1025,Fruit,Jackfruit,Freeze-Drying,28.6,873
1026,Vegetable,Tomato,Sun,46.5,1413
1027,Fruit,Sapota,Sun,42.3,1171
1028,Fruit,Cherry,Sun,54.0,619
1029,Fruit,Dragon Fruit,Sun,47.7,1181
1030,Fruit,Jackfruit,Hot-Air,41.6,357
1031,Fruit,Guava,Solar,46.4,1014
1032,Vegetable,Bell Pepper,Hot-Air,68.8,191
1033,Fruit,Orange,Hot-Air,69.2,186
1034,Vegetable,Cucumber,Microwave,58.9,66
1035,Vegetable,Coriander Leaves,Freeze-Drying,8.9,1744
1036,Fruit,Lemon,Vacuum,52.2,344
1037,Fruit,Plum,Microwave,65.0,36
1038,Fruit,Papaya,Vacuum,48.3,510
1039,Vegetable,Cucumber,Hot-Air,88.3,464
1040,Fruit,Fig,Hot-Air,86.0,379
1041,Fruit,Fig,Sun,53.3,1451
1042,Fruit,Lychee,Solar,55.8,619
1043,Fruit,Mango,Sun,39.3,757
1044,Fruit,Orange,Solar,57.3,743
1045,Vegetable,Green Peas,Sun,34.1,787
1046,Fruit,Pear,Hot-Air,72.1,180
1047,Fruit,Dragon Fruit,Vacuum,64.2,709
1048,Vegetable,Okra,Solar,63.4,833
1049,Fruit,Mango,Microwave,52.9,28
1050,Vegetable,Mushroom,Microwave,73.6,30
1051,Fruit,Dragon Fruit,Hot-Air,78.0,572
1052,Vegetable,Garlic,Solar,42.0,1127
1053,Fruit,Guava,Hot-Air,51.9,175
1054,Vegetable,Okra,Microwave,52.9,46
1055,Vegetable,Eggplant,Sun,41.0,947
1056,Vegetable,Tomato,Sun,52.8,1450
1057,Fruit,Apricot,Freeze-Drying,-1.5,1839
1058,Fruit,Papaya,Microwave,57.9,70
1059,Fruit,Sapota,Sun,54.2,1322
1060,Fruit,Jackfruit,Hot-Air,44.0,594
1061,Vegetable,Radish,Microwave,68.8,11
1062,Vegetable,Cauliflower,Microwave,77.1,71
1063,Fruit,Plum,Solar,61.2,746
1064,Fruit,Blueberry,Freeze-Drying,-10.3,808
1065,Vegetable,Potato,Microwave,63.2,32
1066,Fruit,Pineapple,Vacuum,41.1,721
1067,Vegetable,Mushroom,Sun,34.2,750
1068,Fruit,Papaya,Hot-Air,61.6,431
1069,Fruit,Lychee,Freeze-Drying,-4.6,1842
1070,Fruit,Lychee,Sun,45.6,792
1071,Vegetable,Ginger,Vacuum,49.0,222
1072,Fruit,Lemon,Sun,39.8,1442
1073,Vegetable,Okra,Freeze-Drying,-13.4,1177
1074,Fruit,Jackfruit,Freeze-Drying,-22.9,1502
1075,Vegetable,Bell Pepper,Solar,59.0,1194
1076,Vegetable,Tomato,Vacuum,39.7,418
1077,Vegetable,Radish,Vacuum,60.7,685
1078,Fruit,Watermelon,Microwave,73.7,19
1079,Fruit,Strawberry,Freeze-Drying,18.3,1038
1080,Vegetable,Spinach,Sun,52.6,766
1081,Vegetable,Beetroot,Solar,61.2,912
1082,Vegetable,Onion,Sun,47.2,793
1083,Fruit,Dragon Fruit,Freeze-Drying,-26.2,874
1084,Fruit,Orange,Vacuum,66.7,344
1085,Fruit,Jackfruit,Hot-Air,84.4,493
1086,Fruit,Peach,Freeze-Drying,9.0,1348
1087,Vegetable,Onion,Microwave,62.2,82
1088,Fruit,Papaya,Microwave,50.3,13
1089,Vegetable,Potato,Microwave,69.8,19
1090,Fruit,Plum,Microwave,68.6,50
1091,Vegetable,Eggplant,Solar,56.7,783
1092,Vegetable,Chili Pepper,Sun,33.6,945
1093,Fruit,Grapes,Vacuum,40.6,280
1094,Vegetable,Ginger,Vacuum,44.7,353
1095,Vegetable,Pumpkin,Sun,34.0,1345
1096,Fruit,Custard Apple,Vacuum,43.6,218
1097,Vegetable,Radish,Microwave,79.3,79
1098,Vegetable,Garlic,Vacuum,68.2,319
1099,Vegetable,Okra,Freeze-Drying,4.3,1292
